X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399162.789999999,137319.699999999,25054068,2025/04/14 16:26:33+00,DAY,OTHERS,THEFT/OTHER,1 - 39 BLOCK OF L STREET NW,399162.79,137319.7,6,6E,1,102,Cluster 8,004704 1,004704,Precinct 1,38.9037326504,-77.0096520234,,2025/04/14 15:04:00+00,2025/04/14 15:30:00+00,710574967,
401334.869999997,132389.5,25040362,2025/03/21 04:40:30+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,2200 - 2299 BLOCK OF HUNTER PLACE SE,401334.87,132389.5,8,8A,7,701,Cluster 28,007504 1,007504,Precinct 114,38.8593188837,-76.984620132,,2025/03/20 19:04:00+00,2025/03/20 22:54:00+00,710830055,
398591.524999999,134557.190299999,25040428,2025/03/21 02:29:06+00,EVENING,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF WESLEY PLACE SW,398591.525020646,134557.1902983,6,6D,1,105,Cluster 9,010201 2,010201,Precinct 128,38.8788462051,-77.0162323577,SOUTHWEST,2025/03/19 10:45:00+00,2025/03/20 20:45:00+00,710830056,
402887.823600002,134282.629799999,25041313,2025/03/22 19:31:01+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2900 - 2943 BLOCK OF NELSON PLACE SE,402887.823648633,134282.629818045,7,7B,6,605,Cluster 34,007709 1,007709,Precinct 111,38.8763692422,-76.966719636,,2025/03/22 19:22:00+00,2025/03/22 19:31:00+00,710830057,
396456.219999999,137483.23,25042327,2025/03/24 17:35:02+00,DAY,OTHERS,THEFT/OTHER,1130 - 1199 BLOCK OF CONNECTICUT AVENUE NW,396456.22,137483.23,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.905199041,-77.0408563583,GOLDEN TRIANGLE,2025/03/24 17:20:00+00,2025/03/24 17:35:00+00,710830058,
401701.350000001,136862.760000002,25042840,2025/03/25 16:09:09+00,DAY,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701.35,136862.76,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8996151246,-76.9803866148,,2025/03/25 14:53:00+00,2025/03/25 15:33:00+00,710830059,
398518.399999999,144667.489999998,25042889,2025/03/26 00:38:07+00,EVENING,OTHERS,THEFT F/AUTO,300 - 399 BLOCK OF VAN BUREN STREET NW,398518.4,144667.49,4,4B,4,402,Cluster 17,001902 2,001902,Precinct 59,38.9699228716,-77.0170969293,,2025/03/25 15:00:00+00,2025/03/25 16:00:00+00,710830060,
401601.329999998,130970.75,25043206,2025/03/26 01:12:39+00,EVENING,OTHERS,THEFT/OTHER,1500 - 1699 BLOCK OF ALABAMA AVENUE SE,401601.33,130970.75,8,8E,7,704,Cluster 38,007304 4,007304,Precinct 120,38.8465377272,-76.9815533837,,2025/03/26 00:25:00+00,2025/03/26 00:56:00+00,710830061,
397746.539899997,137368.747000001,25044553,2025/03/28 13:08:39+00,DAY,OTHERS,THEFT F/AUTO,10TH STREET NW AND L STREET NW,397746.53993186,137368.74697291,2,2F,3,307,Cluster 8,004902 3,004902,Precinct 129,38.9041719929,-77.025979842,,2025/03/28 12:56:00+00,2025/03/28 13:08:00+00,710830062,
397904.399999999,140846.07,25045969,2025/03/30 23:26:43+00,EVENING,OTHERS,THEFT/OTHER,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,397904.4,140846.07,1,1E,4,409,Cluster 2,003100 2,003100,Precinct 43,38.9354972411,-77.0241705089,,2025/03/30 19:01:00+00,2025/03/30 20:02:00+00,710830471,
